Team 1,Team 2,Format,Date,Venue,Result,Status
"<a href=""./team.py?team=Chennai Super Kings"">Chennai Super Kings</a><br><div style=""color:gray;font-size:80%;"">178/7 (20.0 ov)</div>","<a href=""./team.py?team=Gujarat Titans"">Gujarat Titans</a><br><div style=""color:gray;font-size:80%;"">182/5 (19.2 ov)</div>",T20,"Mar 31, 2023",Ahmedabad,Gujarat Titans,Completed
"<a href=""./team.py?team=Punjab Kings"">Punjab Kings</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Kolkata Knight Riders"">Kolkata Knight Riders</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 01, 2023",Mohali,Preview,Upcoming
"<a href=""./team.py?team=Lucknow Super Giants"">Lucknow Super Giants</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Delhi Capitals"">Delhi Capitals</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 01, 2023",Lucknow,Preview,Upcoming
"<a href=""./team.py?team=Sunrisers Hyderabad"">Sunrisers Hyderabad</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Rajasthan Royals"">Rajasthan Royals</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 02, 2023",Hyderabad (Deccan),Preview,Upcoming
"<a href=""./team.py?team=Royal Challengers Bangalore"">Royal Challengers Bangalore</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Mumbai Indians"">Mumbai Indians</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 02, 2023",Bengaluru,Preview,Upcoming
"<a href=""./team.py?team=Chennai Super Kings"">Chennai Super Kings</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Lucknow Super Giants"">Lucknow Super Giants</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 03, 2023",Chennai,Preview,Upcoming
"<a href=""./team.py?team=Delhi Capitals"">Delhi Capitals</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Gujarat Titans"">Gujarat Titans</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 04, 2023",Delhi,Preview,Upcoming
"<a href=""./team.py?team=Rajasthan Royals"">Rajasthan Royals</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Punjab Kings"">Punjab Kings</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 05, 2023",Guwahati,Preview,Upcoming
"<a href=""./team.py?team=Kolkata Knight Riders"">Kolkata Knight Riders</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Royal Challengers Bangalore"">Royal Challengers Bangalore</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 06, 2023",Kolkata,Preview,Upcoming
"<a href=""./team.py?team=Lucknow Super Giants"">Lucknow Super Giants</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Sunrisers Hyderabad"">Sunrisers Hyderabad</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 07, 2023",Lucknow,Preview,Upcoming
"<a href=""./team.py?team=Rajasthan Royals"">Rajasthan Royals</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Delhi Capitals"">Delhi Capitals</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 08, 2023",Guwahati,Preview,Upcoming
"<a href=""./team.py?team=Mumbai Indians"">Mumbai Indians</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Chennai Super Kings"">Chennai Super Kings</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 08, 2023",Wankhede,Preview,Upcoming
"<a href=""./team.py?team=Gujarat Titans"">Gujarat Titans</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Kolkata Knight Riders"">Kolkata Knight Riders</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 09, 2023",Ahmedabad,Preview,Upcoming
"<a href=""./team.py?team=Sunrisers Hyderabad"">Sunrisers Hyderabad</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Punjab Kings"">Punjab Kings</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 09, 2023",Hyderabad (Deccan),Preview,Upcoming
"<a href=""./team.py?team=Royal Challengers Bangalore"">Royal Challengers Bangalore</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Lucknow Super Giants"">Lucknow Super Giants</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 10, 2023",Bengaluru,Preview,Upcoming
"<a href=""./team.py?team=Delhi Capitals"">Delhi Capitals</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Mumbai Indians"">Mumbai Indians</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 11, 2023",Delhi,Preview,Upcoming
"<a href=""./team.py?team=Chennai Super Kings"">Chennai Super Kings</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Rajasthan Royals"">Rajasthan Royals</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 12, 2023",Chennai,Preview,Upcoming
"<a href=""./team.py?team=Punjab Kings"">Punjab Kings</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Gujarat Titans"">Gujarat Titans</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 13, 2023",Mohali,Preview,Upcoming
"<a href=""./team.py?team=Kolkata Knight Riders"">Kolkata Knight Riders</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Sunrisers Hyderabad"">Sunrisers Hyderabad</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 14, 2023",Kolkata,Preview,Upcoming
"<a href=""./team.py?team=Royal Challengers Bangalore"">Royal Challengers Bangalore</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Delhi Capitals"">Delhi Capitals</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 15, 2023",Bengaluru,Preview,Upcoming
"<a href=""./team.py?team=Lucknow Super Giants"">Lucknow Super Giants</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Punjab Kings"">Punjab Kings</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 15, 2023",Lucknow,Preview,Upcoming
"<a href=""./team.py?team=Mumbai Indians"">Mumbai Indians</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Kolkata Knight Riders"">Kolkata Knight Riders</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 16, 2023",Wankhede,Preview,Upcoming
"<a href=""./team.py?team=Gujarat Titans"">Gujarat Titans</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Rajasthan Royals"">Rajasthan Royals</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 16, 2023",Ahmedabad,Preview,Upcoming
"<a href=""./team.py?team=Royal Challengers Bangalore"">Royal Challengers Bangalore</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Chennai Super Kings"">Chennai Super Kings</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 17, 2023",Bengaluru,Preview,Upcoming
"<a href=""./team.py?team=Sunrisers Hyderabad"">Sunrisers Hyderabad</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Mumbai Indians"">Mumbai Indians</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 18, 2023",Hyderabad (Deccan),Preview,Upcoming
"<a href=""./team.py?team=Rajasthan Royals"">Rajasthan Royals</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Lucknow Super Giants"">Lucknow Super Giants</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 19, 2023",Jaipur,Preview,Upcoming
"<a href=""./team.py?team=Punjab Kings"">Punjab Kings</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Royal Challengers Bangalore"">Royal Challengers Bangalore</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 20, 2023",Mohali,Preview,Upcoming
"<a href=""./team.py?team=Delhi Capitals"">Delhi Capitals</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Kolkata Knight Riders"">Kolkata Knight Riders</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 20, 2023",Delhi,Preview,Upcoming
"<a href=""./team.py?team=Chennai Super Kings"">Chennai Super Kings</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Sunrisers Hyderabad"">Sunrisers Hyderabad</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 21, 2023",Chennai,Preview,Upcoming
"<a href=""./team.py?team=Lucknow Super Giants"">Lucknow Super Giants</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Gujarat Titans"">Gujarat Titans</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 22, 2023",Lucknow,Preview,Upcoming
"<a href=""./team.py?team=Mumbai Indians"">Mumbai Indians</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Punjab Kings"">Punjab Kings</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 22, 2023",Wankhede,Preview,Upcoming
"<a href=""./team.py?team=Royal Challengers Bangalore"">Royal Challengers Bangalore</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Rajasthan Royals"">Rajasthan Royals</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 23, 2023",Bengaluru,Preview,Upcoming
"<a href=""./team.py?team=Kolkata Knight Riders"">Kolkata Knight Riders</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Chennai Super Kings"">Chennai Super Kings</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 23, 2023",Kolkata,Preview,Upcoming
"<a href=""./team.py?team=Sunrisers Hyderabad"">Sunrisers Hyderabad</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Delhi Capitals"">Delhi Capitals</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 24, 2023",Hyderabad (Deccan),Preview,Upcoming
"<a href=""./team.py?team=Gujarat Titans"">Gujarat Titans</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Mumbai Indians"">Mumbai Indians</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 25, 2023",Ahmedabad,Preview,Upcoming
"<a href=""./team.py?team=Royal Challengers Bangalore"">Royal Challengers Bangalore</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Kolkata Knight Riders"">Kolkata Knight Riders</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 26, 2023",Bengaluru,Preview,Upcoming
"<a href=""./team.py?team=Rajasthan Royals"">Rajasthan Royals</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Chennai Super Kings"">Chennai Super Kings</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 27, 2023",Jaipur,Preview,Upcoming
"<a href=""./team.py?team=Punjab Kings"">Punjab Kings</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Lucknow Super Giants"">Lucknow Super Giants</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 28, 2023",Mohali,Preview,Upcoming
"<a href=""./team.py?team=Kolkata Knight Riders"">Kolkata Knight Riders</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Gujarat Titans"">Gujarat Titans</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 29, 2023",Kolkata,Preview,Upcoming
"<a href=""./team.py?team=Delhi Capitals"">Delhi Capitals</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Sunrisers Hyderabad"">Sunrisers Hyderabad</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 29, 2023",Delhi,Preview,Upcoming
"<a href=""./team.py?team=Chennai Super Kings"">Chennai Super Kings</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Punjab Kings"">Punjab Kings</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 30, 2023",Chennai,Preview,Upcoming
"<a href=""./team.py?team=Mumbai Indians"">Mumbai Indians</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Rajasthan Royals"">Rajasthan Royals</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"Apr 30, 2023",Wankhede,Preview,Upcoming
"<a href=""./team.py?team=Lucknow Super Giants"">Lucknow Super Giants</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Royal Challengers Bangalore"">Royal Challengers Bangalore</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 01, 2023",Lucknow,Preview,Upcoming
"<a href=""./team.py?team=Gujarat Titans"">Gujarat Titans</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Delhi Capitals"">Delhi Capitals</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 02, 2023",Ahmedabad,Preview,Upcoming
"<a href=""./team.py?team=Punjab Kings"">Punjab Kings</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Mumbai Indians"">Mumbai Indians</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 03, 2023",Mohali,Preview,Upcoming
"<a href=""./team.py?team=Lucknow Super Giants"">Lucknow Super Giants</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Chennai Super Kings"">Chennai Super Kings</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 04, 2023",Lucknow,Preview,Upcoming
"<a href=""./team.py?team=Sunrisers Hyderabad"">Sunrisers Hyderabad</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Kolkata Knight Riders"">Kolkata Knight Riders</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 04, 2023",Hyderabad (Deccan),Preview,Upcoming
"<a href=""./team.py?team=Rajasthan Royals"">Rajasthan Royals</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Gujarat Titans"">Gujarat Titans</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 05, 2023",Jaipur,Preview,Upcoming
"<a href=""./team.py?team=Chennai Super Kings"">Chennai Super Kings</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Mumbai Indians"">Mumbai Indians</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 06, 2023",Chennai,Preview,Upcoming
"<a href=""./team.py?team=Delhi Capitals"">Delhi Capitals</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Royal Challengers Bangalore"">Royal Challengers Bangalore</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 06, 2023",Delhi,Preview,Upcoming
"<a href=""./team.py?team=Gujarat Titans"">Gujarat Titans</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Lucknow Super Giants"">Lucknow Super Giants</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 07, 2023",Ahmedabad,Preview,Upcoming
"<a href=""./team.py?team=Rajasthan Royals"">Rajasthan Royals</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Sunrisers Hyderabad"">Sunrisers Hyderabad</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 07, 2023",Jaipur,Preview,Upcoming
"<a href=""./team.py?team=Kolkata Knight Riders"">Kolkata Knight Riders</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Punjab Kings"">Punjab Kings</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 08, 2023",Kolkata,Preview,Upcoming
"<a href=""./team.py?team=Mumbai Indians"">Mumbai Indians</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Royal Challengers Bangalore"">Royal Challengers Bangalore</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 09, 2023",Wankhede,Preview,Upcoming
"<a href=""./team.py?team=Chennai Super Kings"">Chennai Super Kings</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Delhi Capitals"">Delhi Capitals</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 10, 2023",Chennai,Preview,Upcoming
"<a href=""./team.py?team=Kolkata Knight Riders"">Kolkata Knight Riders</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Rajasthan Royals"">Rajasthan Royals</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 11, 2023",Kolkata,Preview,Upcoming
"<a href=""./team.py?team=Mumbai Indians"">Mumbai Indians</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Gujarat Titans"">Gujarat Titans</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 12, 2023",Wankhede,Preview,Upcoming
"<a href=""./team.py?team=Sunrisers Hyderabad"">Sunrisers Hyderabad</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Lucknow Super Giants"">Lucknow Super Giants</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 13, 2023",Hyderabad (Deccan),Preview,Upcoming
"<a href=""./team.py?team=Delhi Capitals"">Delhi Capitals</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Punjab Kings"">Punjab Kings</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 13, 2023",Delhi,Preview,Upcoming
"<a href=""./team.py?team=Rajasthan Royals"">Rajasthan Royals</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Royal Challengers Bangalore"">Royal Challengers Bangalore</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 14, 2023",Jaipur,Preview,Upcoming
"<a href=""./team.py?team=Chennai Super Kings"">Chennai Super Kings</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Kolkata Knight Riders"">Kolkata Knight Riders</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 14, 2023",Chennai,Preview,Upcoming
"<a href=""./team.py?team=Gujarat Titans"">Gujarat Titans</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Sunrisers Hyderabad"">Sunrisers Hyderabad</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 15, 2023",Ahmedabad,Preview,Upcoming
"<a href=""./team.py?team=Lucknow Super Giants"">Lucknow Super Giants</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Mumbai Indians"">Mumbai Indians</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 16, 2023",Lucknow,Preview,Upcoming
"<a href=""./team.py?team=Punjab Kings"">Punjab Kings</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Delhi Capitals"">Delhi Capitals</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 17, 2023",Dharamsala,Preview,Upcoming
"<a href=""./team.py?team=Sunrisers Hyderabad"">Sunrisers Hyderabad</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Royal Challengers Bangalore"">Royal Challengers Bangalore</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 18, 2023",Hyderabad (Deccan),Preview,Upcoming
"<a href=""./team.py?team=Punjab Kings"">Punjab Kings</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Rajasthan Royals"">Rajasthan Royals</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 19, 2023",Dharamsala,Preview,Upcoming
"<a href=""./team.py?team=Delhi Capitals"">Delhi Capitals</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Chennai Super Kings"">Chennai Super Kings</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 20, 2023",Delhi,Preview,Upcoming
"<a href=""./team.py?team=Kolkata Knight Riders"">Kolkata Knight Riders</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Lucknow Super Giants"">Lucknow Super Giants</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 20, 2023",Kolkata,Preview,Upcoming
"<a href=""./team.py?team=Mumbai Indians"">Mumbai Indians</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Sunrisers Hyderabad"">Sunrisers Hyderabad</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 21, 2023",Wankhede,Preview,Upcoming
"<a href=""./team.py?team=Royal Challengers Bangalore"">Royal Challengers Bangalore</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Gujarat Titans"">Gujarat Titans</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 21, 2023",Bengaluru,Preview,Upcoming
