Player,Team,Salary,Color,Player,Team
2021,,$0,0,,
Royal Challengers Bangalore,2021,$0,0,,
Delhi Capitals,2021,$0,0,,
Chennai Super Kings,2021,$0,0,,
Sunrisers Hyderabad,2021,$0,0,,
Rajasthan Royals,2021,$0,0,,
Kolkata Knight Riders,2021,$0,0,,
Punjab Kings,2021,$0,0,,
Mumbai Indians,2021,$0,0,,
AT Rayudu,Chennai Super Kings,"$343,750","343,750",AT Rayudu,Chennai Super Kings
CA Pujara,Chennai Super Kings,"$71,400","71,400",CA Pujara,Chennai Super Kings
DJ Bravo,Chennai Super Kings,"$1,000,000","1,000,000",DJ Bravo,Chennai Super Kings
DL Chahar,Chennai Super Kings,"$125,000","125,000",DL Chahar,Chennai Super Kings
F du Plessis,Chennai Super Kings,"$250,000","250,000",F du Plessis,Chennai Super Kings
Imran Tahir,Chennai Super Kings,"$156,250","156,250",Imran Tahir,Chennai Super Kings
JP Behrendorff,Chennai Super Kings,"$234,380","234,380",JP Behrendorff,Chennai Super Kings
JR Hazlewood,Chennai Super Kings,"$285,700","285,700",JR Hazlewood,Chennai Super Kings
K Gowtham,Chennai Super Kings,"$900,000","900,000",K Gowtham,Chennai Super Kings
KM Asif,Chennai Super Kings,"$62,500","62,500",KM Asif,Chennai Super Kings
KV Sharma,Chennai Super Kings,"$478,000","478,000",KV Sharma,Chennai Super Kings
L Ngidi,Chennai Super Kings,"$78,130","78,130",L Ngidi,Chennai Super Kings
MJ Santner,Chennai Super Kings,"$78,130","78,130",MJ Santner,Chennai Super Kings
MM Ali,Chennai Super Kings,"$1,000,000","1,000,000",MM Ali,Chennai Super Kings
MS Dhoni,Chennai Super Kings,"$2,343,750","2,343,750",MS Dhoni,Chennai Super Kings
N Jagadeesan,Chennai Super Kings,"$31,250","31,250",N Jagadeesan,Chennai Super Kings
RA Jadeja,Chennai Super Kings,"$1,093,750","1,093,750",RA Jadeja,Chennai Super Kings
RD Gaikwad,Chennai Super Kings,"$28,600","28,600",RD Gaikwad,Chennai Super Kings
RV Uthappa,Chennai Super Kings,"$428,600","428,600",RV Uthappa,Chennai Super Kings
SK Raina,Chennai Super Kings,"$1,718,750","1,718,750",SK Raina,Chennai Super Kings
SM Curran,Chennai Super Kings,"$785,700","785,700",SM Curran,Chennai Super Kings
SN Thakur,Chennai Super Kings,"$406,250","406,250",SN Thakur,Chennai Super Kings
A Mishra,Delhi Capitals,"$625,000","625,000",A Mishra,Delhi Capitals
A Nortje,Delhi Capitals,"$28,600","28,600",A Nortje,Delhi Capitals
AM Rahane,Delhi Capitals,"$760,000","760,000",AM Rahane,Delhi Capitals
AR Patel,Delhi Capitals,"$714,300","714,300",AR Patel,Delhi Capitals
Avesh Khan,Delhi Capitals,"$109,380","109,380",Avesh Khan,Delhi Capitals
CR Woakes,Delhi Capitals,"$214,300","214,300",CR Woakes,Delhi Capitals
I Sharma,Delhi Capitals,"$157,100","157,100",I Sharma,Delhi Capitals
K Khejroliya,Delhi Capitals,"$15,000","15,000",K Khejroliya,Delhi Capitals
K Rabada,Delhi Capitals,"$656,250","656,250",K Rabada,Delhi Capitals
Lalit Yadav,Delhi Capitals,"$28,600","28,600",Lalit Yadav,Delhi Capitals
MP Stoinis,Delhi Capitals,"$685,700","685,700",MP Stoinis,Delhi Capitals
P Dubey,Delhi Capitals,"$15,000","15,000",P Dubey,Delhi Capitals
PP Shaw,Delhi Capitals,"$187,500","187,500",PP Shaw,Delhi Capitals
R Ashwin,Delhi Capitals,"$1,100,000","1,100,000",R Ashwin,Delhi Capitals
RR Pant,Delhi Capitals,"$2,343,750","2,343,750",RR Pant,Delhi Capitals
RV Patel,Delhi Capitals,"$28,600","28,600",RV Patel,Delhi Capitals
S Dhawan,Delhi Capitals,"$812,500","812,500",S Dhawan,Delhi Capitals
SO Hetmyer,Delhi Capitals,"$1,107,100","1,107,100",SO Hetmyer,Delhi Capitals
SPD Smith,Delhi Capitals,"$314,300","314,300",SPD Smith,Delhi Capitals
SS Iyer,Delhi Capitals,"$1,093,750","1,093,750",SS Iyer,Delhi Capitals
SW Billings,Delhi Capitals,"$285,700","285,700",SW Billings,Delhi Capitals
TK Curran,Delhi Capitals,"$750,000","750,000",TK Curran,Delhi Capitals
UT Yadav,Delhi Capitals,"$142,900","142,900",UT Yadav,Delhi Capitals
Vishnu Vinod,Delhi Capitals,"$28,600","28,600",Vishnu Vinod,Delhi Capitals
AD Russell,Kolkata Knight Riders,"$1,328,130","1,328,130",AD Russell,Kolkata Knight Riders
BCJ Cutting,Kolkata Knight Riders,"$107,100","107,100",BCJ Cutting,Kolkata Knight Riders
CV Varun,Kolkata Knight Riders,"$1,200,000","1,200,000",CV Varun,Kolkata Knight Riders
EJG Morgan,Kolkata Knight Riders,"$750,000","750,000",EJG Morgan,Kolkata Knight Riders
Gurkeerat Singh,Kolkata Knight Riders,"$71,400","71,400",Gurkeerat Singh,Kolkata Knight Riders
Harbhajan Singh,Kolkata Knight Riders,"$285,700","285,700",Harbhajan Singh,Kolkata Knight Riders
KD Karthik,Kolkata Knight Riders,"$1,156,250","1,156,250",KD Karthik,Kolkata Knight Riders
KK Nair,Kolkata Knight Riders,"$71,400","71,400",KK Nair,Kolkata Knight Riders
KL Nagarkoti,Kolkata Knight Riders,"$500,000","500,000",KL Nagarkoti,Kolkata Knight Riders
Kuldeep Yadav,Kolkata Knight Riders,"$28,600","28,600",Kuldeep Yadav,Kolkata Knight Riders
LH Ferguson,Kolkata Knight Riders,"$228,600","228,600",LH Ferguson,Kolkata Knight Riders
M Prasidh Krishna,Kolkata Knight Riders,"$15,620","15,620",M Prasidh Krishna,Kolkata Knight Riders
N Rana,Kolkata Knight Riders,"$531,250","531,250",N Rana,Kolkata Knight Riders
P Negi,Kolkata Knight Riders,"$71,400","71,400",P Negi,Kolkata Knight Riders
PJ Cummins,Kolkata Knight Riders,"$2,214,300","2,214,300",PJ Cummins,Kolkata Knight Riders
RA Tripathi,Kolkata Knight Riders,"$85,700","85,700",RA Tripathi,Kolkata Knight Riders
RK Singh,Kolkata Knight Riders,"$125,000","125,000",RK Singh,Kolkata Knight Riders
S Sandeep Warrier,Kolkata Knight Riders,"$16,000","16,000",S Sandeep Warrier,Kolkata Knight Riders
Shakib Al Hasan,Kolkata Knight Riders,"$457,100","457,100",Shakib Al Hasan,Kolkata Knight Riders
Shivam Mavi,Kolkata Knight Riders,"$468,750","468,750",Shivam Mavi,Kolkata Knight Riders
Shubman Gill,Kolkata Knight Riders,"$281,250","281,250",Shubman Gill,Kolkata Knight Riders
SP Jackson,Kolkata Knight Riders,"$28,600","28,600",SP Jackson,Kolkata Knight Riders
SP Narine,Kolkata Knight Riders,"$1,953,130","1,953,130",SP Narine,Kolkata Knight Riders
TG Southee,Kolkata Knight Riders,"$156,250","156,250",TG Southee,Kolkata Knight Riders
Vaibhav Arora,Kolkata Knight Riders,"$28,600","28,600",Vaibhav Arora,Kolkata Knight Riders
VR Iyer,Kolkata Knight Riders,"$28,600","28,600",VR Iyer,Kolkata Knight Riders
AF Milne,Mumbai Indians,"$457,100","457,100",AF Milne,Mumbai Indians
Anmolpreet Singh,Mumbai Indians,"$114,300","114,300",Anmolpreet Singh,Mumbai Indians
AP Tare,Mumbai Indians,"$31,250","31,250",AP Tare,Mumbai Indians
Arjun Tendulkar,Mumbai Indians,"$28,600","28,600",Arjun Tendulkar,Mumbai Indians
AS Roy,Mumbai Indians,"$31,250","31,250",AS Roy,Mumbai Indians
CA Lynn,Mumbai Indians,"$285,700","285,700",CA Lynn,Mumbai Indians
DS Kulkarni,Mumbai Indians,"$110,000","110,000",DS Kulkarni,Mumbai Indians
HH Pandya,Mumbai Indians,"$1,718,750","1,718,750",HH Pandya,Mumbai Indians
Ishan Kishan,Mumbai Indians,"$968,750","968,750",Ishan Kishan,Mumbai Indians
J Yadav,Mumbai Indians,"$78,130","78,130",J Yadav,Mumbai Indians
JDS Neesham,Mumbai Indians,"$71,400","71,400",JDS Neesham,Mumbai Indians
JJ Bumrah,Mumbai Indians,"$1,093,750","1,093,750",JJ Bumrah,Mumbai Indians
KA Pollard,Mumbai Indians,"$843,750","843,750",KA Pollard,Mumbai Indians
KH Pandya,Mumbai Indians,"$1,375,000","1,375,000",KH Pandya,Mumbai Indians
M Jansen,Mumbai Indians,"$28,600","28,600",M Jansen,Mumbai Indians
Mohsin Khan,Mumbai Indians,"$28,600","28,600",Mohsin Khan,Mumbai Indians
NM Coulter-Nile,Mumbai Indians,"$714,300","714,300",NM Coulter-Nile,Mumbai Indians
PP Chawla,Mumbai Indians,"$342,900","342,900",PP Chawla,Mumbai Indians
Q de Kock,Mumbai Indians,"$437,500","437,500",Q de Kock,Mumbai Indians
RD Chahar,Mumbai Indians,"$296,880","296,880",RD Chahar,Mumbai Indians
RG Sharma,Mumbai Indians,"$2,343,750","2,343,750",RG Sharma,Mumbai Indians
SA Yadav,Mumbai Indians,"$500,000","500,000",SA Yadav,Mumbai Indians
SS Tiwary,Mumbai Indians,"$71,400","71,400",SS Tiwary,Mumbai Indians
TA Boult,Mumbai Indians,"$460,000","460,000",TA Boult,Mumbai Indians
Arshdeep Singh,Punjab Kings,"$28,600","28,600",Arshdeep Singh,Punjab Kings
CH Gayle,Punjab Kings,"$312,500","312,500",CH Gayle,Punjab Kings
CJ Jordan,Punjab Kings,"$428,600","428,600",CJ Jordan,Punjab Kings
Darshan Nalkande,Punjab Kings,"$42,900","42,900",Darshan Nalkande,Punjab Kings
DJ Hooda,Punjab Kings,"$71,400","71,400",DJ Hooda,Punjab Kings
DJ Malan,Punjab Kings,"$214,300","214,300",DJ Malan,Punjab Kings
FA Allen,Punjab Kings,"$107,100","107,100",FA Allen,Punjab Kings
Harpreet Brar,Punjab Kings,"$28,600","28,600",Harpreet Brar,Punjab Kings
JA Richardson,Punjab Kings,"$2,000,000","2,000,000",JA Richardson,Punjab Kings
Jalaj S Saxena,Punjab Kings,"$42,900","42,900",Jalaj S Saxena,Punjab Kings
KL Rahul,Punjab Kings,"$1,718,750","1,718,750",KL Rahul,Punjab Kings
M Ashwin,Punjab Kings,"$28,600","28,600",M Ashwin,Punjab Kings
M Shahrukh Khan,Punjab Kings,"$750,000","750,000",M Shahrukh Khan,Punjab Kings
MA Agarwal,Punjab Kings,"$156,250","156,250",MA Agarwal,Punjab Kings
Mandeep Singh,Punjab Kings,"$218,750","218,750",Mandeep Singh,Punjab Kings
MC Henriques,Punjab Kings,"$600,000","600,000",MC Henriques,Punjab Kings
Mohammed Shami,Punjab Kings,"$685,700","685,700",Mohammed Shami,Punjab Kings
N Pooran,Punjab Kings,"$600,000","600,000",N Pooran,Punjab Kings
Prabhsimran Singh,Punjab Kings,"$78,600","78,600",Prabhsimran Singh,Punjab Kings
Ravi Bishnoi,Punjab Kings,"$285,700","285,700",Ravi Bishnoi,Punjab Kings
RP Meredith,Punjab Kings,"$1,142,900","1,142,900",RP Meredith,Punjab Kings
Saurabh Kumar,Punjab Kings,"$28,600","28,600",Saurabh Kumar,Punjab Kings
SN Khan,Punjab Kings,"$35,700","35,700",SN Khan,Punjab Kings
Utkarsh Singh,Punjab Kings,"$28,600","28,600",Utkarsh Singh,Punjab Kings
AJ Tye,Rajasthan Royals,"$142,900","142,900",AJ Tye,Rajasthan Royals
Akash Singh,Rajasthan Royals,"$28,600","28,600",Akash Singh,Rajasthan Royals
Anuj Rawat,Rajasthan Royals,"$114,300","114,300",Anuj Rawat,Rajasthan Royals
BA Stokes,Rajasthan Royals,"$1,953,130","1,953,130",BA Stokes,Rajasthan Royals
C Sakariya,Rajasthan Royals,"$171,400","171,400",C Sakariya,Rajasthan Royals
CH Morris,Rajasthan Royals,"$2,321,400","2,321,400",CH Morris,Rajasthan Royals
DA Miller,Rajasthan Royals,"$107,100","107,100",DA Miller,Rajasthan Royals
E Lewis,Rajasthan Royals,"$593,750","593,750",E Lewis,Rajasthan Royals
JC Archer,Rajasthan Royals,"$1,125,000","1,125,000",JC Archer,Rajasthan Royals
JC Buttler,Rajasthan Royals,"$687,500","687,500",JC Buttler,Rajasthan Royals
JD Unadkat,Rajasthan Royals,"$428,600","428,600",JD Unadkat,Rajasthan Royals
Kartik Tyagi,Rajasthan Royals,"$185,700","185,700",Kartik Tyagi,Rajasthan Royals
KC Cariappa,Rajasthan Royals,"$28,600","28,600",KC Cariappa,Rajasthan Royals
LS Livingstone,Rajasthan Royals,"$107,100","107,100",LS Livingstone,Rajasthan Royals
M Markande,Rajasthan Royals,"$290,000","290,000",M Markande,Rajasthan Royals
M Vohra,Rajasthan Royals,"$28,600","28,600",M Vohra,Rajasthan Royals
MK Lomror,Rajasthan Royals,"$31,250","31,250",MK Lomror,Rajasthan Royals
Mustafizur Rahman,Rajasthan Royals,"$142,900","142,900",Mustafizur Rahman,Rajasthan Royals
O Thomas,Rajasthan Royals,"$71,400","71,400",O Thomas,Rajasthan Royals
R Parag,Rajasthan Royals,"$28,600","28,600",R Parag,Rajasthan Royals
R Tewatia,Rajasthan Royals,"$430,000","430,000",R Tewatia,Rajasthan Royals
S Dube,Rajasthan Royals,"$628,600","628,600",S Dube,Rajasthan Royals
S Gopal,Rajasthan Royals,"$31,250","31,250",S Gopal,Rajasthan Royals
SV Samson,Rajasthan Royals,"$1,250,000","1,250,000",SV Samson,Rajasthan Royals
YBK Jaiswal,Rajasthan Royals,"$342,900","342,900",YBK Jaiswal,Rajasthan Royals
A Zampa,Royal Challengers Bangalore,"$45,000","45,000",A Zampa,Royal Challengers Bangalore
AB de Villiers,Royal Challengers Bangalore,"$1,718,750","1,718,750",AB de Villiers,Royal Challengers Bangalore
D Padikkal,Royal Challengers Bangalore,"$28,600","28,600",D Padikkal,Royal Challengers Bangalore
DT Christian,Royal Challengers Bangalore,"$234,380","234,380",DT Christian,Royal Challengers Bangalore
GJ Maxwell,Royal Challengers Bangalore,"$2,035,700","2,035,700",GJ Maxwell,Royal Challengers Bangalore
HV Patel,Royal Challengers Bangalore,"$31,250","31,250",HV Patel,Royal Challengers Bangalore
KA Jamieson,Royal Challengers Bangalore,"$2,142,900","2,142,900",KA Jamieson,Royal Challengers Bangalore
KS Bharat,Royal Challengers Bangalore,"$16,667","16,667",KS Bharat,Royal Challengers Bangalore
KW Richardson,Royal Challengers Bangalore,"$571,400","571,400",KW Richardson,Royal Challengers Bangalore
Mohammed Siraj,Royal Challengers Bangalore,"$406,250","406,250",Mohammed Siraj,Royal Challengers Bangalore
NA Saini,Royal Challengers Bangalore,"$468,750","468,750",NA Saini,Royal Challengers Bangalore
PVD Chameera,Royal Challengers Bangalore,"$78,130","78,130",PVD Chameera,Royal Challengers Bangalore
RM Patidar,Royal Challengers Bangalore,"$28,600","28,600",RM Patidar,Royal Challengers Bangalore
Sachin Baby,Royal Challengers Bangalore,"$28,600","28,600",Sachin Baby,Royal Challengers Bangalore
Shahbaz Ahmed,Royal Challengers Bangalore,"$28,600","28,600",Shahbaz Ahmed,Royal Challengers Bangalore
V Kohli,Royal Challengers Bangalore,"$2,656,250","2,656,250",V Kohli,Royal Challengers Bangalore
Washington Sundar,Royal Challengers Bangalore,"$500,000","500,000",Washington Sundar,Royal Challengers Bangalore
YS Chahal,Royal Challengers Bangalore,"$937,500","937,500",YS Chahal,Royal Challengers Bangalore
Abdul Samad,Sunrisers Hyderabad,"$28,600","28,600",Abdul Samad,Sunrisers Hyderabad
Abhishek Sharma,Sunrisers Hyderabad,"$85,940","85,940",Abhishek Sharma,Sunrisers Hyderabad
B Kumar,Sunrisers Hyderabad,"$1,328,130","1,328,130",B Kumar,Sunrisers Hyderabad
Basil Thampi,Sunrisers Hyderabad,"$148,440","148,440",Basil Thampi,Sunrisers Hyderabad
DA Warner,Sunrisers Hyderabad,"$1,953,130","1,953,130",DA Warner,Sunrisers Hyderabad
J Suchith,Sunrisers Hyderabad,"$42,900","42,900",J Suchith,Sunrisers Hyderabad
JJ Roy,Sunrisers Hyderabad,"$214,300","214,300",JJ Roy,Sunrisers Hyderabad
JM Bairstow,Sunrisers Hyderabad,"$314,300","314,300",JM Bairstow,Sunrisers Hyderabad
JO Holder,Sunrisers Hyderabad,"$105,000","105,000",JO Holder,Sunrisers Hyderabad
KK Ahmed,Sunrisers Hyderabad,"$468,750","468,750",KK Ahmed,Sunrisers Hyderabad
KM Jadhav,Sunrisers Hyderabad,"$285,700","285,700",KM Jadhav,Sunrisers Hyderabad
KS Williamson,Sunrisers Hyderabad,"$468,750","468,750",KS Williamson,Sunrisers Hyderabad
MK Pandey,Sunrisers Hyderabad,"$1,718,750","1,718,750",MK Pandey,Sunrisers Hyderabad
Mohammad Nabi,Sunrisers Hyderabad,"$156,250","156,250",Mohammad Nabi,Sunrisers Hyderabad
MR Marsh,Sunrisers Hyderabad,"$285,700","285,700",MR Marsh,Sunrisers Hyderabad
Mujeeb Ur Rahman,Sunrisers Hyderabad,"$625,000","625,000",Mujeeb Ur Rahman,Sunrisers Hyderabad
PK Garg,Sunrisers Hyderabad,"$271,400","271,400",PK Garg,Sunrisers Hyderabad
Rashid Khan,Sunrisers Hyderabad,"$1,406,250","1,406,250",Rashid Khan,Sunrisers Hyderabad
S Kaul,Sunrisers Hyderabad,"$593,750","593,750",S Kaul,Sunrisers Hyderabad
S Nadeem,Sunrisers Hyderabad,"$500,000","500,000",S Nadeem,Sunrisers Hyderabad
Sandeep Sharma,Sunrisers Hyderabad,"$468,750","468,750",Sandeep Sharma,Sunrisers Hyderabad
SE Rutherford,Sunrisers Hyderabad,"$290,000","290,000",SE Rutherford,Sunrisers Hyderabad
SP Goswami,Sunrisers Hyderabad,"$156,250","156,250",SP Goswami,Sunrisers Hyderabad
T Natarajan,Sunrisers Hyderabad,"$62,500","62,500",T Natarajan,Sunrisers Hyderabad
V Shankar,Sunrisers Hyderabad,"$500,000","500,000",V Shankar,Sunrisers Hyderabad
Virat Singh,Sunrisers Hyderabad,"$271,400","271,400",Virat Singh,Sunrisers Hyderabad
WP Saha,Sunrisers Hyderabad,"$171,400","171,400",WP Saha,Sunrisers Hyderabad
